"id","ciudad","municipio_id","ip","host","deleted_at","created_at","updated_at","searchtext","status","creado_por_id"
194,"CUAUTLA",359,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cuautl':1",False,1
195,"CUERNAVACA",326,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cuernavac':1",False,1
196,"JIUTEPEC",377,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jiutepec':1",False,1
197,"JOJUTLA",378,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jojutl':1",False,1
198,"PUENTE DE IXTLA",388,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'ixtla':3 'puent':1",False,1
199,"TEMIXCO",392,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'temixc':1",False,1
200,"SANTA ROSA TREINTA",419,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'ros':2 'sant':1 'treint':3",False,1
201,"TLAQUILTENANGO",422,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'tlaquiltenang':1",False,1
202,"YAUTEPEC DE ZARAGOZA",432,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'yautepec':1 'zaragoz':3",False,1
203,"ZACATEPEC DE HIDALGO",444,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'hidalg':3 'zacatepec':1",False,1
